,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,ente,ando,para,ment,esta,ento,ante,como,habí,cont,enci,entr,endo,pero,ella,aban,amen,aque,taba,todo,quel,ació,ombr,ones,enta,ados,estr,quie,cuan,espe,mien,comp,obre,esto,reci,pres,desp,pues,sent,rado,tado,tant,uell,uste,acer,cion,seño,eñor,raba,dijo,stab,anto,aron,sobr,pare,uert,asta,cien,iemp,orqu,cons,porq,hace,homb,toda,raci,casa,caba,mano,bien,much,stra,otro,inte,ello,segu,ontr,tras,fuer,mism,rada,adre,"nte,",amos,echo,nada,leva,onde,sper,ador,rand,part,anta,tien,medi,este,eran,ener,esen,endi
10,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,0.0,0.32536063642566726,0.2630163345891934,-0.34828739849437107,-0.22703711492568426,-0.27014795203528885,-0.6680981671949862,0.6259042789049878,0.3451910387433854,0.014897341930209418,-0.10613132233489292,0.20436270895684336,0.08947081717844807,-0.6377135141941,-0.3057090967684777,0.10535794555238337,-0.060595463332053484,0.15190077463021118,-0.1427704278230723,0.8112942343110603,0.376116277470834,-0.2508138110845659,0.4254588250258402,-0.366134636348838,0.10507202300102159,1.1475226095697602,0.7373373793339576,-1.7054277357809637,0.9581474821966708,-0.0952195341857818,-0.46641695148203766,0.05202068613357204,0.583038336284972,-0.35706058169817206,-0.005169491264241016,-0.8776187295949006,-0.5702061206857395,-0.25996900070951756,-0.541983906875156,-0.2393977114582956,-0.28106178987310504,0.5450690833978167,0.07494578154973099,-0.4795044371934668,-0.45711628641833385,-0.466427887718929,0.2045098139121416,0.1905639931876354,0.18425485974451428,1.1298232948333937,-0.39537096959223583,-0.6136091914056516,-1.058606501719791,-0.10241703209793948,0.667322376587275,0.11371579693883116,-0.06892498094581126,-0.049632475715086624,0.7822924561828237,0.181889216657504,0.1769575974571939,0.3756666063020163,-0.07647215037783509,-0.37772763300055323,-0.23214877953055563,-0.7739139000177426,-1.6225154980283956,0.2552050473048296,-0.0608735946494441,-0.28341012801717647,-0.23403495492038356,0.310942366720245,-0.11640304379165226,-0.2903147317625702,0.979158111290418,0.0011121800434030493,0.26047043341372333,-0.3417924543282371,-0.7948242933096952,0.08715954836448048,-0.8004237867896884,-0.8120337182609418,-1.1471104367274396,0.9815894652720958,-0.0368447401864125,0.1078616537086789,0.788053234799432,0.044214192506577085,0.1424507737988506,-0.1689844802707773,-0.057101698941801005,0.8231150088911674,0.22624354367780147,0.7619740491162107,0.4965580495885395,0.11490746736855476,-0.7680941544573469,0.072770871699372,-0.17832633617449173,-1.2181068344446822,0.6042288471899596
11,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,1.0,0.5334544368263787,0.19504710256978797,-0.4550028646101296,-0.2576206033915196,-0.22811590846392504,-0.4927426169253782,0.5117746083832226,0.48150826123139734,-0.27845438947907986,-0.08252159138205395,0.13476010909170127,0.30976727913646607,-0.3235443026180056,-0.6454976513177595,-0.04839641072120096,0.03527849187212628,0.10285805658628644,-0.13848409958750446,0.7952534223503833,0.3300088757674078,-0.19010218386943456,0.28249403415249624,-0.5618027636232817,0.31087914859716415,1.4063799870704783,0.20461604785215148,-1.3797471071363945,0.7147796351457759,0.21949243943294472,-0.35217804059896995,0.10794226650795952,0.2881553677321569,-0.5382832259347144,0.07022154207266329,-0.6462684908025604,-0.731634627938412,0.09442675152671665,-0.605684145080633,-0.21256222796961072,-0.34163060638710596,0.7665749905142027,0.24015739414492526,-0.411398605197283,-0.06774840570506224,-0.276399769329265,0.3508257209826725,0.2418188674317705,0.2590380238655424,0.828230814922916,-0.02982129757253421,-0.5652531951858131,-0.31065342168025684,0.14992908820277506,0.7431206233765296,-0.2305743651724672,-0.00866033783574549,0.37341186910212354,0.5005008508306238,0.3013910180044922,-0.03850677038385297,0.4559687295906263,-0.253945047422319,-0.4338125297960427,-0.7337654151720572,-0.5801145510953475,-1.6467694007685805,-0.012931312557755481,-0.14976066438837293,0.25556574452183833,-0.18262500201131981,0.11700759632733504,0.053810836163937004,-0.5689821734326417,0.885800878723496,-0.19389785394693226,0.06242177022070661,-0.6441989192097785,-0.3396497218389719,0.04880623228973324,-0.48673820730453393,-0.789974117586876,-1.403448909807656,0.5646774514507065,-0.3837502567679538,-0.03340438161384829,0.8815328766719208,0.06819821021712835,0.1836298814972881,-0.45913626309183886,0.07868436345510665,0.8158824028305443,-0.20837763267382003,0.7631443366091719,0.43469500120915117,-0.08078020182685758,-0.40348881568603245,0.11667847521068708,-0.21595281441465675,-1.2635039734194122,0.2563922553071448
12,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,2.0,0.07588395288835875,0.14469944253688055,-0.3168541483305554,-0.13163917694068128,-0.039124467100557475,-0.4410151679645222,0.08250752124736836,0.4642755531905929,-0.5584938739118138,0.05024187217665719,0.2856536753286093,0.13929042730921293,-0.7645842514368789,-0.7848958787696988,0.09351356310376123,0.10952652846410801,0.4274718944655458,-0.13771932516143284,1.048254371603455,0.38005094544769114,-0.2907956031543676,0.5182519032590821,-0.5997375436978993,0.2322486044537298,1.5356476323906172,0.29828553830054144,-1.4280214783058025,0.6533470634187402,0.269200983028512,-0.5095212444428296,0.40831275892662255,0.09713625155693538,-0.5636975376674607,0.08093926992525119,-1.0762307026696785,-0.07828233861131961,-0.40188894102405665,-0.626060533290628,-0.340886295888289,-0.5470709929052144,0.47483228322939725,0.003315828062715199,-0.29925481650326674,-0.06213779087186228,-0.5897717374549581,0.5054589591398357,0.2634377494965641,0.25891195074569046,0.7936427880078929,-0.26877311346775984,-0.09417655951564677,-0.6890297656184421,-0.1058704268533249,0.7638568039159851,0.355710519729908,0.0489631398355002,-0.0013524002144202438,0.6245429162135195,-0.04396257899130189,-0.20114949798355333,0.29579065133669186,-0.4645959108655991,-0.746139349671358,-0.3796951900380728,-1.0076700250963493,-1.2980854748970356,0.4200271057038514,-0.10568425711094466,0.017777603312781644,-0.24190322233583816,0.045354281169547976,-0.0311431146778474,0.022406106890229073,1.4174030139094267,-0.31323048459159253,0.21262901008691493,-0.4239836717229925,-0.20279005314957904,0.05264386484816594,-0.5510952694026757,-0.5073294905976665,-1.267554238880782,0.8678376236235179,0.27128133393124126,0.09483038123312874,0.6536974461555121,0.0023575073167496647,0.07141803109324382,-0.02610580052715739,0.08645073685404424,0.9308582738000546,-0.06876005746091551,0.8742169251745838,0.3294766944782001,-0.003085814041228164,-0.8823535547911763,0.05987171224073401,-0.06884388134148761,-1.214917159609499,0.19117434936780353
13,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,3.0,-0.08231547563510189,0.1803293938108298,-0.30971869577785743,-0.303985151340376,-0.18467568719616784,-0.3485112394529991,0.2956074801799317,0.27058714731303674,-0.6174071223453869,-0.05547620175527959,0.24363927421987172,0.0042748456947062086,-0.5655157937648966,-0.617063588074715,-0.13510723524733964,-0.08116412016700036,0.015798708379565818,-0.00655942419592917,0.727373397345182,0.3564337433562881,-0.031129876890317154,0.48996781565065023,-0.6684745077676835,0.0653594479290614,1.483513572617471,0.1757537546435537,-1.696488091241869,0.5259120892530675,-0.03871787315285996,-0.408836448122196,0.20840817466722722,0.4141154549016338,-0.707130241507795,0.21551535469192792,-0.8789940044004707,-0.5390785716542322,-0.4004178477994502,-0.7619687038924674,-0.0060242876495640585,-0.4113440909382309,0.5176561727300072,0.24068869177056457,-0.2943761868502915,-0.5735213840521745,-0.3049792250310278,0.48741273560891457,0.3008370022373073,0.2822207821250711,0.972817604446135,-0.16486517551846203,-0.44249724702901305,-0.706201981544616,0.13242091038419798,0.6847637377265338,-0.1573480319747409,0.18132457078427025,0.2204379220686311,0.7806813361269516,-0.023783420692890272,-0.06923895456917886,0.25477919507348534,-0.31216771836846247,-0.15473562859362033,-0.21584429332361604,-0.7188639520502256,-1.5849129583327608,0.24001958874483995,-0.020616636578423053,-0.2329443497354165,-0.0797740011866285,0.25172885135735923,-0.26780693316342075,-0.5287077662424435,0.929001966238284,-0.46763808805078255,-0.23028338336016574,-0.5445474815424174,0.07002798398922441,0.16345047469031249,-1.057415586772953,-0.5852725195907164,-1.1317191045316923,0.6527942733742338,-0.2002492734239573,-0.030546959185691697,0.7294300577104402,0.2941189268512906,0.1575031555710456,0.03569405521624264,-0.05583902615736813,0.822866754700231,0.16654490341774705,0.5522740043793591,0.5057546960718277,0.10985954174998588,-0.5687074153934703,0.06289055594486057,-0.023310057637900256,-1.3806221750893448,0.2794489354045104
14,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,4.0,0.13661019418557796,0.06533081193266943,-0.2506855609347387,-0.1845906302130803,-0.3610230766285173,-0.6628290744200984,0.27041396113382493,0.02613987980577348,-0.47846281492634246,-0.09160117935632361,0.1861551419499956,0.20346083222168365,-0.3487521524773157,-0.5928862843499607,-0.08064327803903518,0.02783390872825031,0.34119834765937684,-0.03281459584242319,0.8109605145100087,0.16054568686109422,-0.16142466885501294,0.29406785636423227,-0.6798309540505176,0.12290122460758901,1.5131964849724853,0.2072291933675261,-1.820134709183547,0.7044529443222575,0.18504687931416902,-0.6166477376402948,0.07177393947076471,0.43385611900594784,-0.45649495721950495,0.25009759178906954,-1.0617249634146808,-0.4860855254026615,-0.327558627432133,-0.511966522041102,-0.23630167732372914,-0.3214431072978593,0.8761160638180614,0.15658092632222254,-0.42948457455835326,-0.4856479813495843,-0.30017993392693854,0.274062646619187,0.25200134930439677,0.24512438693797223,1.3134996989381158,-0.06225837019692054,-0.5569232206595149,-0.6747308932719621,-0.03297037451526541,0.8209498334381574,-0.07279639640933849,0.08952539356570849,0.00958446073948549,0.26974947152160783,-0.04729176853442785,0.003744012313052769,0.4837948660203717,-0.2700347971074296,-0.3843658716383569,-0.6135912532711062,-0.6439686423871779,-1.585079061282455,0.42075774360428647,-0.2931210372403647,-0.03142235222190848,0.1764629689138556,0.17127957448800746,-0.3185005658006568,-0.564915045432664,0.9855643151675366,-0.4854480560968744,-0.25944959754517155,-0.40259387345067416,-0.4862970542427506,0.27253927478392864,-0.639843812115178,-0.5680404652980274,-1.0466072713986438,0.8426761279920727,-0.15457548338281824,0.15123589197851928,1.0731393513224892,-0.02776638343791671,0.16998257759633267,-0.29818728480749845,-0.12738195848200995,0.8516477333865125,4.518719691970485e-05,0.48272538147235894,0.6542559017773403,0.33484400372174705,-0.405712133589216,0.30337569875161685,0.11927648719321632,-1.2796717196065097,-0.01799376508718531
15,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,5.0,0.21071706600907436,0.002943266511812495,-0.4795622625902062,-0.3479896494241473,-0.3180382084218372,-0.373562389453151,0.48562034513198526,0.3902444421411596,-0.3456308934349812,-0.09339778533075438,0.1723371000540487,0.25091531285316204,-0.09979034123218403,-0.5495114930265304,-0.23203229469287917,-0.025285304699220745,0.32786883515472837,0.005191747785177864,0.7658654517165808,0.6709348392706866,-0.09199975680933906,0.21271491926118719,-0.6248639727257126,0.029372853579486907,1.2120979225096984,0.28723866079533145,-1.6078609090449079,0.5577558533436542,-0.15799213891083033,-0.4056701621263116,-0.04302840251658878,0.3932930614730098,-0.3400153656072623,-0.06250163049948446,-0.6563640341056582,-0.5801369890782326,-0.3423204604619533,-0.3410314168174756,-0.08197741241460471,-0.48965981662647395,0.320265814672304,0.24922064789280649,-0.39215717248440873,-0.13713552506147467,-0.23972018645455484,0.2846694515979894,0.06301372465188303,0.07543380174364735,0.8056373416431775,-0.21541690015382503,-0.44591136287698563,-0.8834460319559219,0.027368629129968625,0.8017622762621367,-0.21916884119296748,0.028392870412443233,0.07442336829742591,0.8764407712806072,0.10032655433536314,-0.021412701000943335,0.11140929030131538,-0.2594268788881269,-0.2638822821623849,-0.46408331333975095,-0.31398209679147215,-1.6052072590431976,0.4111077415750494,-0.30058488151603613,-0.39491578156111545,-0.171616406196514,0.23355703394427701,-0.3418297092409973,-0.3533650895589017,0.9481603013580442,-0.4416062787818069,0.13684890483237439,-0.6658863014023467,0.004629831927010025,-0.04473912432892077,-0.7676272228826306,-0.6224306098386694,-1.0047742755823097,0.693759019715563,-0.1445916232206058,0.014901121163430453,1.0651039867515295,0.21229183640073113,0.1425824855247734,-0.4901854908691069,-0.16978904014459903,0.5135676829157239,-0.05127373614877001,0.703298210886232,0.5713403086800982,0.20348352561154945,-0.6027861779408197,0.256668180094411,-0.11779326670307529,-1.2055891679331983,0.2852083911990516
16,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,6.0,0.31176423494208455,-0.1491837689417091,-0.40532036656102244,-0.2384755352195945,-0.18928086391335258,-0.41153102769193445,0.24959584265654072,0.12065793718760572,-0.8038199331057183,-0.03519562470386864,0.319335993913222,0.35455417130217914,-0.3990619370056983,-0.4721780691408677,-0.09889195804102363,-0.12903986123903516,0.10009942991482706,-0.11281238976135646,1.0156575245466974,0.525608194244135,-0.17320191937665058,0.25711195912944557,-0.6794810168075383,-0.07587813925082185,1.4101172793323,0.19304256280865678,-1.6750293115298116,0.604186739939744,-0.12862543309835,-0.4734788352255884,0.2057197706304037,0.40373631250409914,-0.3004642428094102,0.11211838368386826,-0.3282491576742824,-0.4531823449611708,-0.22460666763364334,-0.4791771509571585,-0.18537714814415657,0.13436735158395208,0.5926524816155206,0.1881742917368628,-0.4521092670663379,-0.47589989491466267,-0.04696361876121351,0.17901147450806526,0.07443670907411684,0.07963329102766861,0.6290764546258494,-0.6484095862833489,-0.2464166453418004,-0.5805535024289691,0.01682029975748095,0.9105807141333365,-0.22087878984366863,0.021197683159717644,0.07317502419083749,0.7511270997027194,0.049527050018256885,-0.04282371546933845,0.07568272611241748,-0.25164793890593845,-0.1154745650123928,-0.4319469754460103,-0.5055439286901356,-1.775018792228634,0.5484474124891513,-0.4735349611542704,-0.09677613828054199,-0.060735371420027495,0.14754989391282453,-0.24868707148712615,-0.28953169021376063,0.9835481023614441,-0.28412340833293626,0.03159780723420766,-0.5330771176708398,-0.42666616724328005,0.3974611269873837,-0.5544403292176157,-0.35640149355740125,-0.986055364921423,0.844201073357292,-0.1295651677910732,0.3253171179248261,0.43541545140211124,-0.13460864994942195,0.11310104214827521,-0.4282059153317516,-0.3421503644863819,0.8157487914458206,0.011009156246287607,0.7695875626845934,0.4937198458212911,-0.040811142895171626,-0.5872793692521474,0.13591958877543073,-0.2455327995648277,-1.6240775463753767,0.26669706788394276
17,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,7.0,0.2294256029658035,0.11113417113019497,-0.23526406744256234,-0.3422219426923232,-0.1332555365592245,-0.4613270810216421,0.41612722397883706,0.2572651555426658,-0.3083769958220499,-0.06276580485272842,0.2969920568674401,0.15352034641142787,-0.3070761258578998,-0.7253591563576789,-0.07234515116735807,-0.037163946348631294,0.2978857087842042,-0.13696458219587804,0.8540363313329096,0.5425066595037749,-0.19768871786986886,0.22144090362195856,-0.5927247802544235,0.023227018809641176,1.5305115913359353,0.12838344201786644,-1.5870449622208507,0.6296396185969271,-0.07281716408315242,-0.552761256684522,0.15758499982380536,0.29613089776017465,-0.537772035600702,0.06962869554964679,-0.8771381576869597,-0.29326530102610016,-0.3567458322443765,-0.6630641973800948,-0.37090444585434934,-0.305612480625828,0.26190554678257105,0.09977092306041435,-0.40280987948328895,-0.37209498378882044,-0.3219948478588104,0.22225037561266492,0.16421032287596415,0.17000561524194224,0.8960436379535137,-0.3227997896940949,-0.383503618632581,-0.6129705029153544,0.13834473862413332,0.6393013784069462,-0.03293876639984994,0.10662464343335021,-0.07890732114372279,0.5941970153914828,-0.02530546183807658,-0.10389066861689167,0.49005035638117334,-0.3515239164487143,-0.2402185070124243,-0.3333609776202233,-0.38819571187025215,-1.7716646484875478,0.4577255073355948,-0.30324424913727277,0.012986285551950583,-0.10866794038290761,0.05138282264008032,-0.18476550695159255,-0.2697392944517317,1.0816836604215865,-0.542689137065822,-0.0586299580205033,-0.248432845258035,-0.4194520823592993,0.13669172362041337,-0.6701786252562139,-0.5595202060156099,-1.066913024085174,0.6280909867582098,-0.23575184355959888,0.1324681911320258,0.9326929184076257,0.2519014385786913,0.23320731561213226,-0.2332052385182336,-0.09084739307641454,0.8356322216677313,0.04126337870778285,0.6072576359089226,0.45646781255206137,-0.05068745903185823,-0.7883732720670728,0.39179562773040116,0.06452717265603669,-1.4317141237957398,0.17669451702856764
18,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,8.0,-0.013079198601838815,-0.009682921695319341,-0.8050334523168379,-0.2554825056762012,-0.29558479373010454,-0.6113057323975246,0.40740345844434156,0.41991265068426453,-0.35990054083131484,-0.007911724417504984,-0.010543475037744852,0.198113710505549,-0.6230042387106609,-0.6000495601784679,-0.4400048153512731,0.057370400489773044,-0.11888876307806623,-0.04744292010997275,0.9339981176560377,0.3190520504798062,-0.13787792297908194,0.25024640891053507,-0.5571203002310575,0.026915212520239762,1.8220273911085656,0.18142393040611032,-1.6576169497195283,0.8786095351699454,-0.006562492209100018,-0.2658998597855473,0.12871598933256062,-0.02144120161817059,-0.42101834625430906,0.3795202097072221,-0.9518064086141265,0.0777895069194949,-0.11081412096435145,-0.8954383353671064,-0.040033221889517995,-0.3594889777391511,0.37683879775301976,0.40637788326502244,-0.5712700804585955,-0.25640985857437454,-0.4753312480728635,0.15068025251765457,0.09330747254851644,0.10096610074452042,1.1128742838721302,-0.41518182622437355,-0.5513867952794753,-0.9647873407591806,-0.1896332236017852,0.696367155538589,-0.06389100621573707,0.09331843338302659,-0.14142427692112963,0.4622579035122368,0.3948334150339283,-0.07254227253226103,0.5410670438812064,-0.2502542727468736,-0.5831857967753141,-0.2762212944165706,-0.5649779362760597,-1.537038778404579,0.5317368133172866,-0.35754980533278097,-0.4521576569806554,-0.12227218450064203,0.443251495245171,-0.037053090623038465,-0.14939576393440987,1.0660346227827053,-0.5432094933154716,0.20578433024053228,-0.521950533126567,-0.45635947610593863,0.21146451659416243,-0.7273170345816012,-0.5422894337393604,-0.7775594608282221,0.8085568899918464,-0.09709338579266508,-0.11019422888718976,1.030239429285448,0.2550009609795484,0.2699074525471811,-0.1937464217862778,0.061998544062018546,1.059225734912292,0.15709539339989198,0.45880413244348245,0.40862783262945146,0.018910657234791572,-0.4093982934731422,0.25579574027788615,-0.13203735986432286,-1.0869033160315251,0.10782648455314431
19,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,1,9.0,0.16092668014213896,0.2642702836617399,-0.6829749561150541,0.26020021619640654,-0.44441524442478275,-0.42970519007882874,0.24987865466836134,0.5858958984144016,-0.40482359109941424,-0.1254636556115969,0.2011534445251867,0.02258590314280895,-0.3627366825384335,-0.411277572006682,0.01678373712865605,0.11059289462861388,0.3517300326011421,-0.28861077088158016,1.024861601314897,0.44908932443859334,-0.3079321348623447,0.4971287871441652,-0.6388650528361404,-0.11851888094574323,1.4846833996459714,0.014360555029412303,-1.4222206856179305,0.7326191124144674,0.24745747696515497,-0.36342318849652844,0.09916359879045755,0.3212428485640757,-0.23825512562493142,-0.04416219412162953,-0.7315497125317434,-0.842814127116071,-0.2798742776798233,-0.40395050267553423,-0.5027478617103021,-0.04794413203423242,0.25371412289631545,0.22530774446620355,-0.5873322983558353,-0.23755308420269666,-0.3925918452842829,0.15988420213289795,0.11343171739699143,0.12305297168032481,1.5442833064965047,-0.32509119781372986,-0.36772356388442007,-0.4909847500078949,0.07100702503673273,0.6585945812345708,-0.16479501491107051,0.2109271983886598,-0.40511661183083625,0.9497681364344537,-0.24720264111907936,-0.25829741853989663,0.5675722582007808,-0.40944619297918694,-0.7226819065794181,-0.31642814227834865,-0.5271865544777613,-1.2081746364017503,0.3715583898068905,-0.2961106572865282,-0.143466205248456,0.2536415906409254,0.1577224139868728,-0.2797687235372569,-0.14381663279679058,1.2013530784234439,-0.4016124178465451,-0.10379148424791129,-0.2601059238261966,-0.5085948146707495,0.3032825890052014,-0.45018282325187653,-0.6759249232864408,-0.8502444047775158,0.5808700268259592,-0.024132231012140903,0.1377673930299696,0.77525507924563,0.34934966258333366,0.16827342267729065,-0.31888956650699946,0.2902547495306296,0.8112592320935919,-0.07246993578124739,0.6318615924285572,0.5131591821829862,0.3254343650827568,-0.9331510896900589,0.11118793373514457,-0.2976654956822638,-1.1533847299514863,-0.12105815236895856
20,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,2,0.0,0.32536063642566726,0.2630163345891934,-0.34828739849437107,-0.22703711492568426,-0.27014795203528885,-0.6680981671949862,0.6259042789049878,0.3451910387433854,0.014897341930209418,-0.10613132233489292,0.20436270895684336,0.08947081717844807,-0.6377135141941,-0.3057090967684777,0.10535794555238337,-0.060595463332053484,0.15190077463021118,-0.1427704278230723,0.8112942343110603,0.376116277470834,-0.2508138110845659,0.4254588250258402,-0.366134636348838,0.10507202300102159,1.1475226095697602,0.7373373793339576,-1.7054277357809637,0.9581474821966708,-0.0952195341857818,-0.46641695148203766,0.05202068613357204,0.583038336284972,-0.35706058169817206,-0.005169491264241016,-0.8776187295949006,-0.5702061206857395,-0.25996900070951756,-0.541983906875156,-0.2393977114582956,-0.28106178987310504,0.5450690833978167,0.07494578154973099,-0.4795044371934668,-0.45711628641833385,-0.466427887718929,0.2045098139121416,0.1905639931876354,0.18425485974451428,1.1298232948333937,-0.39537096959223583,-0.6136091914056516,-1.058606501719791,-0.10241703209793948,0.667322376587275,0.11371579693883116,-0.06892498094581126,-0.049632475715086624,0.7822924561828237,0.181889216657504,0.1769575974571939,0.3756666063020163,-0.07647215037783509,-0.37772763300055323,-0.23214877953055563,-0.7739139000177426,-1.6225154980283956,0.2552050473048296,-0.0608735946494441,-0.28341012801717647,-0.23403495492038356,0.310942366720245,-0.11640304379165226,-0.2903147317625702,0.979158111290418,0.0011121800434030493,0.26047043341372333,-0.3417924543282371,-0.7948242933096952,0.08715954836448048,-0.8004237867896884,-0.8120337182609418,-1.1471104367274396,0.9815894652720958,-0.0368447401864125,0.1078616537086789,0.788053234799432,0.044214192506577085,0.1424507737988506,-0.1689844802707773,-0.057101698941801005,0.8231150088911674,0.22624354367780147,0.7619740491162107,0.4965580495885395,0.11490746736855476,-0.7680941544573469,0.072770871699372,-0.17832633617449173,-1.2181068344446822,0.6042288471899596
21,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,zscore,2,1.0,0.5334544368263787,0.19504710256978797,-0.4550028646101296,-0.2576206033915196,-0.22811590846392504,-0.4927426169253782,0.5117746083832226,0.48150826123139734,-0.27845438947907986,-0.08252159138205395,0.13476010909170127,0.30976727913646607,-0.3235443026180056,-0.6454976513177595,-0.04839641072120096,0.03527849187212628,0.10285805658628644,-0.13848409958750446,0.7952534223503833,0.3300088757674078,-0.19010218386943456,0.28249403415249624,-0.5618027636232817,0.31087914859716415,1.4063799870704783,0.20461604785215148,-1.3797471071363945,0.7147796351457759,0.21949243943294472,-0.35217804059896995,0.10794226650795952,0.2881553677321569,-0.5382832259347144,0.07022154207266329,-0.6462684908025604,-0.731634627938412,0.09442675152671665,-0.605684145080633,-0.21256222796961072,-0.34163060638710596,0.7665749905142027,0.24015739414492526,-0.411398605197283,-0.06774840570506224,-0.276399769329265,0.3508257209826725,0.2418188674317705,0.2590380238655424,0.828230814922916,-0.02982129757253421,-0.5652531951858131,-0.31065342168025684,0.14992908820277506,0.7431206233765296,-0.2305743651724672,-0.00866033783574549,0.37341186910212354,0.5005008508306238,0.3013910180044922,-0.03850677038385297,0.4559687295906263,-0.253945047422319,-0.4338125297960427,-0.7337654151720572,-0.5801145510953475,-1.6467694007685805,-0.012931312557755481,-0.14976066438837293,0.25556574452183833,-0.18262500201131981,0.11700759632733504,0.053810836163937004,-0.5689821734326417,0.885800878723496,-0.19389785394693226,0.06242177022070661,-0.6441989192097785,-0.3396497218389719,0.04880623228973324,-0.48673820730453393,-0.789974117586876,-1.403448909807656,0.5646774514507065,-0.3837502567679538,-0.03340438161384829,0.8815328766719208,0.06819821021712835,0.1836298814972881,-0.45913626309183886,0.07868436345510665,0.8158824028305443,-0.20837763267382003,0.7631443366091719,0.43469500120915117,-0.08078020182685758,-0.40348881568603245,0.11667847521068708,-0.21595281441465675,-1.2635039734194122,0.2563922553071448
